# Excluded rare, archaic, obsolete, historical, or legacy guesses
# Source: C:\Users\T-Dawg\vswordle\UnknownMediocreTutorial\server\wordlists\allowed_words.txt
# All words marked as feasible secrets, or listed in allowed_secrets.txt, were protected.
# Reviewed terms were removed by explicit category.
# Other non-secret terms were removed when their source Frequency was below 1.
# Protected secret rows kept: 4164
# Modern zero-frequency exceptions kept: 23
# Total excluded rows: 4811
#
word	frequency	probability	plural	reason
banak	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
baned	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bants	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
banty	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bapus	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bardy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
barms	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
barps	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
barye	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
basan	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
basij	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
basts	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
battu	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bauds	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bauks	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
baurs	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bavin	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bawds	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bawks	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bawns	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bawrs	0	0	0	reviewed: highly regional or legacy dialect form
bawty	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bayts	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bazoo	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
beamy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
beare	118875	0	0	reviewed: obsolete or superseded spelling/form
becap	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bedad	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bedew	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bedim	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bedye	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
beedi	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
begad	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
begar	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
begem	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
beigy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
beins	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
belah	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
belar	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
belee	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
belon	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bemad	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bemas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bemix	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
bemud	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
benga	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
benis	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
